Date,AGG.P,DBC.P,GLD.P,IWM.P,LQD.P,MUB.P,VTI.P
2011-01-03,-0.00043829583645028805,0.0007416182844080413,-0.0076800799217803415,-0.014286894533434916,0.004689923102132584,0.0021492648676182096,0.001977296426345014
2011-01-04,0.0012734209055759625,0.0011037028636332708,0.0074073722697732885,0.016266487341964612,0.005507297980378249,9.4621125443501e-05,0.017152440978453205
2011-01-05,0.0010638455826833442,0.007963888981319304,0.0040233354551353715,0.006266855983358609,-0.0033834378674669073,0.003053439335784863,0.03482194361729205
2011-01-06,-0.0013491849840914477,0.00021766910510723157,-0.004744519684923808,-0.007379101876008302,0.00891234965409362,-0.00206648814943469,-0.007042497662690492
2011-01-07,-0.006199991138554495,-0.011795963228058445,-0.02000466236250169,0.006770746399320561,0.012741443415821813,-0.0027564388528100703,-0.0239642635052664
2011-01-10,0.0037500099076971595,-0.006954415680612374,0.013249279022083778,-0.004264742923536848,-0.0021356530079308335,0.0001368947588087773,0.009591438198798872
2011-01-11,-0.0007596853657760684,-0.006252615467592401,-0.0028307288702869703,-0.020715487457716404,0.0027241427162185802,-0.00643503437249663,-0.005463396331260242
2011-01-12,0.0031875503276232514,0.005012325763930243,0.007416441747818045,0.00041726242114850567,0.008323627340179034,0.005006297450171989,0.0033724823279458324
2011-01-13,0.003860194703558272,0.010622780102370463,-0.0018487436426705191,-0.02091483929166127,0.0047552870489994195,0.0038103024917402954,0.009703508535703996
2011-01-14,-0.0035952968041788242,-0.012389485964848762,0.0020347237666464065,-0.0004996060431101036,-0.01192072590718419,0.00015721377361609833,-0.018608777808185248
2011-01-17,-0.003631038023181941,0.014385211717234609,0.01831343233010985,-0.009019817845702565,0.000631174589837256,0.0017648205801117248,0.02684648200766286
2011-01-18,-0.0018214819521498275,-0.0064950264177076,0.013926942598197583,-0.0022239748228515656,0.0048870268727663245,-0.004947485583262066,0.0012496492601973069
2011-01-19,-0.006488408098233683,-0.015459181518118087,0.0044757226283068585,0.0014780076516099079,-0.0033711460403837656,-0.003983710596983937,0.0005620451138046451
2011-01-20,0.001354456432311482,0.01225355285887531,-0.023913512349684612,-0.016462820348579137,0.0009848588215385764,-0.00026403614738197657,0.0009791781591859002
